Pcode,Town,District,dis_code,Province,Geo_x,Geo_y,B,S,Ignore_prov,Ignore_district,Ignore_description
1701,RIDGEVIEW,City of Johannesburg Metropolitan Municipality,JHB,Gauteng,-26.0969992,27.9997433,Y,,Gauteng,JHB,City of Johannesburg Metropolitan Municipality
1708,FLORIDA GLEN,City of Johannesburg Metropolitan Municipality,JHB,Gauteng,-26.16698,27.94609,Y,Y,Gauteng,JHB,City of Johannesburg Metropolitan Municipality
1709,ALLEN'S NEK,City of Johannesburg Metropolitan Municipality,JHB,Gauteng,-26.1308025,27.9087891,Y,Y,Gauteng,JHB,City of Johannesburg Metropolitan Municipality
1710,FLORIDA,City of Johannesburg Metropolitan Municipality,JHB,Gauteng,-26.17091,27.90648,Y,Y,Gauteng,JHB,City of Johannesburg Metropolitan Municipality
1711,ANSFRERE,City of Johannesburg Metropolitan Municipality,JHB,Gauteng,-26.1718999,27.9131832,Y,Y,Gauteng,JHB,City of Johannesburg Metropolitan Municipality
1712,BERGBRON,City of Johannesburg Metropolitan Municipality,JHB,Gauteng,-25.7681664,28.3305442,Y,Y,Gauteng,JHB,City of Johannesburg Metropolitan Municipality
1714,WELOBIE,City of Johannesburg Metropolitan Municipality,JHB,Gauteng,-26.0241802,27.9847604,Y,,Gauteng,JHB,City of Johannesburg Metropolitan Municipality
1715,WELTEVREDENPARK,City of Johannesburg Metropolitan Municipality,JHB,Gauteng,-26.1516099,27.9253074,Y,Y,Gauteng,JHB,City of Johannesburg Metropolitan Municipality
1716,FLORIDA HILLS,City of Johannesburg Metropolitan Municipality,JHB,Gauteng,-26.16362,27.92845,Y,Y,Gauteng,JHB,City of Johannesburg Metropolitan Municipality
1717,WIBSEY,City of Johannesburg Metropolitan Municipality,JHB,Gauteng,-26.19036,27.96718,Y,,Gauteng,JHB,City of Johannesburg Metropolitan Municipality
1718,PANORAMA EST,City of Johannesburg Metropolitan Municipality,JHB,Gauteng,-26.1049069,27.7754416,Y,,Gauteng,JHB,City of Johannesburg Metropolitan Municipality
1723,DOORNKOP,City of Johannesburg Metropolitan Municipality,JHB,Gauteng,-26.24306,27.80639,Y,Y,Gauteng,JHB,City of Johannesburg Metropolitan Municipality
1724,WILLOW BROOK,City of Johannesburg Metropolitan Municipality,JHB,Gauteng,-26.1135149,27.8891528,,Y,Gauteng,JHB,City of Johannesburg Metropolitan Municipality
1725,ROODEPOORT,City of Johannesburg Metropolitan Municipality,JHB,Gauteng,-26.1306143,27.8504358,Y,Y,Gauteng,JHB,City of Johannesburg Metropolitan Municipality
1726,HAMBERG,City of Johannesburg Metropolitan Municipality,JHB,Gauteng,-26.1723399,27.88948,Y,Y,Gauteng,JHB,City of Johannesburg Metropolitan Municipality
1728,DABULAVILLE,City of Johannesburg Metropolitan Municipality,JHB,Gauteng,-26.1306143,27.8504358,Y,,Gauteng,JHB,City of Johannesburg Metropolitan Municipality
1729,WITBEECK,City of Johannesburg Metropolitan Municipality,JHB,Gauteng,-26.1306143,27.8504358,Y,,Gauteng,JHB,City of Johannesburg Metropolitan Municipality
1730,HORISON,City of Johannesburg Metropolitan Municipality,JHB,Gauteng,-26.14239,27.8801,Y,Y,Gauteng,JHB,City of Johannesburg Metropolitan Municipality
1731,WILROPARK,City of Johannesburg Metropolitan Municipality,JHB,Gauteng,-26.124133,27.84922,Y,Y,Gauteng,JHB,City of Johannesburg Metropolitan Municipality
1732,RUIMSIG,City of Johannesburg Metropolitan Municipality,JHB,Gauteng,-26.08834,27.87271,Y,Y,Gauteng,JHB,City of Johannesburg Metropolitan Municipality
1733,HELDERKRUIN,City of Johannesburg Metropolitan Municipality,JHB,Gauteng,-26.13318,27.8582,Y,Y,Gauteng,JHB,City of Johannesburg Metropolitan Municipality
1734,WESTGATE,City of Johannesburg Metropolitan Municipality,JHB,Gauteng,-26.1304788,27.8507372,Y,Y,Gauteng,JHB,City of Johannesburg Metropolitan Municipality
1735,STRUBENS VALLEY,City of Johannesburg Metropolitan Municipality,JHB,Gauteng,-26.11974,27.90149,Y,Y,Gauteng,JHB,City of Johannesburg Metropolitan Municipality
1736,WILGEHEUWEL,City of Johannesburg Metropolitan Municipality,JHB,Gauteng,-26.11728,27.903632,Y,Y,Gauteng,JHB,City of Johannesburg Metropolitan Municipality
1737,ALLEN'S NEK,City of Johannesburg Metropolitan Municipality,JHB,Gauteng,-26.130952,27.91035,Y,Y,Gauteng,JHB,City of Johannesburg Metropolitan Municipality
1739,NOORDHEUWEL,West Rand District Municipality,DC48,Gauteng,-26.0968899,27.80413,Y,Y,Gauteng,DC48,West Rand District Municipality
1740,KRUGERSDORP,West Rand District Municipality,DC48,Gauteng,-26.1049069,27.7754416,Y,Y,Gauteng,DC48,West Rand District Municipality
1741,KRUGERSDORP NORTH,West Rand District Municipality,DC48,Gauteng,-26.0917,27.76834,Y,Y,Gauteng,DC48,West Rand District Municipality
