Location,Street_code,Box_code,Area,Municipality,Province,Country,Lat,Lon
Blomanda Fase 3,9323,-------,Kagisanong,Motheo,Free State,South Africa,-29.183333,26.2333329
Blomanda Phase 1,9323,-------,Kagisanong,Motheo,Free State,South Africa,-29.183333,26.2333329
Blomanda Phase 2,9323,-------,Kagisanong,Motheo,Free State,South Africa,-29.183333,26.2333329
Blomanda Phase 3,9323,-------,Kagisanong,Motheo,Free State,South Africa,-29.183333,26.2333329
Bochabela,9323,-------,Kagisanong,Motheo,Free State,South Africa,-29.1468661,26.2393209
Bochabella,9323,-------,Kagisanong,Motheo,Free State,South Africa,-29.1468661,26.2393209
Estoire,9323,-------,Kagisanong,Motheo,Free State,South Africa,-29.0887512,26.2718021
Freedom Square,9323,9301,Bloemfontein,Motheo,Free State,South Africa,-29.1767836,26.2511327
Ga Sehunelo,9323,-------,Bloemfontein,Motheo,Free State,South Africa,-29.1510609,26.2424215
Ga-Sehunelo,9323,9315,Bloemfontein,Motheo,Free State,South Africa,-29.1510609,26.2424215
Gasehunelo,9323,9315,Bloemfontein,Motheo,Free State,South Africa,-29.1510609,26.2424215
Grootvlei,9323,9300,Kagisanong,Motheo,Free State,South Africa,-29.1861648,26.3028029
Ipopeng,9323,9323,Kagisanong,Xhariep,Free State,South Africa,-29.7392263,25.3148724
Ipopeng Location,9323,-------,Kagisanong,Motheo,Free State,South Africa,-29.2006734,26.2505424
Joe Slovo,-------,9323,Kagisanong,Motheo,Free State,South Africa,-29.1601666,26.2467034
Kagisanong,9323,9309,Bloemfontein,Motheo,Free State,South Africa,-29.183333,26.2333329
Kagiso,9323,9309,Bloemfontein,Motheo,Free State,South Africa,-29.113675,26.219306
Mafora,9323,9301,Bloemfontein,Motheo,Free State,South Africa,-29.18155,26.2252209
Mangaung,9323,9307,Bloemfontein,Motheo,Free State,South Africa,-29.085214,26.1595761
Meriting,9323,9323,Kagisanong,Motheo,Free State,South Africa,-25.5868739,27.2529145
